Start = 10112002,End = 10112002,Country:Mexico,Location : Yucatan state,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 13. 999999,Affected = 7.0,Cost = nan,ID = 2002-0698
Start = 00011976,End = 00011976,Country:Australia,Location : Queensland,Type:Storm,Sub_Type:Tropical cyclone,Names:David,Killed = nan,Affected = nan,Cost = 4.237,ID = 1976-0163
Start = 15092005,End = 22092005,Country:Philippines,Location : Luzon:Muntinlupa:Pampan ...,Type:Storm,Sub_Type:Tropical cyclone,Names:Damrey,Killed = 15. 999999,Affected = 20000.0,Cost = 2.0,ID = 2005-0540
Start = 30062005,End = 30062005,Country:Bangladesh,Location : Cox's Bazar,Type:Storm,Sub_Type:nan,Names:nan,Killed = 34. 999999,Affected = nan,Cost = nan,ID = 2005-0391
Start = 00031973,End = 00031973,Country:Algeria,Location : Northeast:Tlemcen,Type:Flood,Sub_Type:nan,Names:nan,Killed = 20. 999999,Affected = 146000.0,Cost = 10.0,ID = 1973-0016
Start = 16032001,End = 16032001,Country:Senegal,Location : Near Dagana,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 17. 999999,Affected = 23.0,Cost = nan,ID = 2001-0112
Start = 12111994,End = 12111994,Country:China,Location :  Karamay (Xinjiang Provin ...,Type:Miscellaneous accident,Sub_Type:Fire,Names:Cinema,Killed = 324. 999999,Affected = 223.0,Cost = nan,ID = 1994-0590
Start = 14062003,End = 16062003,Country:Colombia,Location : Caqueta department,Type:Flood,Sub_Type:General flood,Names:nan,Killed = 2. 999999,Affected = 4000.0,Cost = nan,ID = 2003-0284
Start = 29092003,End = 29092003,Country:Tanzania Uni Rep,Location : Iranga district,Type:Transport Accident,Sub_Type:Road,Names:nan,Killed = 17. 999999,Affected = 30.0,Cost = nan,ID = 2003-0485
Start = 00082001,End = 00082001,Country:United States,Location : Oregon:Washington:Idaho ...,Type:Wildfire,Sub_Type:Forest fire,Names:nan,Killed = nan,Affected = nan,Cost = nan,ID = 2001-0451
Start = 28081996,End = 28081996,Country:India,Locations : Sone River (Bihar),Type:Transport Accident,Sub_Type:Water,Names:nan,Killed = 29. 999999,Affected = nan,Cost = nan,ID = 1996-0378
Start = 00101997,End = 00101997,Country:Somalia,Location : Southwest of Mogadishu,Type:Epidemic,Sub_Type:Viral Infectious Diseases,Names:Rift Valley fever,Killed = 499. 999999,Affected = nan,Cost = nan,ID = 1997-0521
